NAME,BODY_AVG,BODY_MAX,HEAD_AVG,HEAD_MAX,COUNT
00001,1.0170432025366627,2,1.0,1,2523
00002,1.0027223230490019,2,1.0,1,1102
00003,1.4529874942102825,2,1.0,1,2159
00004,1.4641670621737066,2,1.0,1,2107
00006,1.0,1,1.0,1,165
00007,1.0297619047619047,2,1.0,1,168
00012,1.1227436823104693,2,1.0,1,277
00013,1.0698689956331877,4,1.0,1,1374
00014,1.0769230769230769,4,1.0,1,1742
00015,1.0870786516853932,3,1.0,1,356
00016,1.076048951048951,4,1.0,1,1144
00017,1.0687203791469195,4,1.0,1,1266
00018,1.0741035856573704,4,1.0,1,1255
00019,1.076068376068376,4,1.0,1,1170
00020,1.0725244072524407,4,1.0,1,1434
00021,1.0803571428571428,4,1.0,1,1344
00022,1.0711009174311927,3,1.0,1,436
00023,1.0704545454545455,3,1.0,1,440
00024,1.0769230769230769,4,1.0,1,1742
00025,1.0,1,1.0,1,1011
00026,1.7252234206471495,3,1.0,1,64900
00027,1.694220123738196,3,1.0,1,61420
00029,1.5206849522654948,3,1.0,1,6599
00030,1.5571151984511133,3,1.0,1,6198
00032,1.5223112993495689,3,1.0,1,6611
00033,1.8423164890173909,3,1.0,1,23173
00034,1.8480796342974324,3,1.0,1,23407
00036,1.8425977834317995,3,1.0,1,23189
00037,1.8426457263666567,3,1.0,1,23177
00038,1.8424226759713966,3,1.0,1,23214
00039,1.5261802575107297,3,1.0,1,8155
00040,1.2728120537405647,3,1.0,1,102939
00041,1.3215366314101735,3,1.0,1,77338
00042,1.322793504390914,3,1.0,1,81532
00043,1.258597467184175,3,1.0,1,125473
00044,1.3202395768512756,3,1.0,1,77136
00045,1.2736607364091381,3,1.0,1,100895
00046,1.3164103083901375,3,1.0,1,78926
00047,1.3235267528509254,3,1.0,1,77431
00049,1.1016949152542372,3,1.0,1,59
00052,1.0,1,1.0,1,25233
00055,1.0841121495327102,3,1.0,1,214
00057,1.0,1,1.0,1,11
00058,1.0,1,1.0,1,7
00059,1.0,1,1.0,1,47
00060,1.0,1,1.0,1,72
00062,1.0,1,1.0,1,72
00063,1.0,1,1.0,1,61
00065,1.0,1,1.0,1,12
00066,1.0,1,1.0,1,20
00068,1.0,1,1.0,1,33
00069,1.0,1,1.0,1,8
00071,1.0,1,1.0,1,14
00072,1.0,1,1.0,1,31
00073,1.0,1,1.0,1,78
00075,1.0,1,1.0,1,126
00078,1.0,1,1.0,1,1045
00079,1.0344827586206897,2,1.0,1,29
00081,1.0,1,1.0,1,679
00082,1.0,1,1.0,1,265
00094,1.0,1,1.0,1,149
00106,1.0,1,1.0,1,43
00110,1.0,1,1.0,1,245
00112,1.3225806451612903,2,1.0,1,124
00113,1.4166666666666667,2,1.0,1,24
00114,1.5,3,1.0,1,78
00116,1.1555555555555554,3,1.0,1,45
00118,1.4528301886792452,4,1.0,1,106
00120,1.0714285714285714,4,1.0,1,56
00151,1.1643835616438356,2,1.0,1,292
00153,1.4086021505376345,3,1.0,1,186
00164,1.0,1,1.0,1,32
00167,1.092920353982301,2,1.0,1,452
00169,1.0297619047619047,2,1.0,1,168
00170,1.025,2,1.0,1,120
00171,1.0,1,1.0,1,61
00172,1.625,3,1.0,1,216
00173,1.0866141732283465,3,1.0,1,127
00174,1.5554477853216941,3,1.0,1,6186
00176,1.5,3,1.0,1,94
00209,1.962962962962963,2,1.0,1,27
00210,1.6842105263157894,2,1.0,1,19
00212,1.6666666666666667,2,1.0,1,3
00213,1.6666666666666667,2,1.0,1,3
00214,1.7619047619047619,2,1.0,1,21
00215,1.8,2,1.0,1,10
00217,2.0,2,1.0,1,8
00218,1.875,2,1.0,1,8
00220,2.0,2,1.0,1,3
00221,2.0,2,1.0,1,16
00222,1.7058823529411764,2,1.0,1,51
00223,1.625,2,1.0,1,8
00224,1.5714285714285714,2,1.0,1,7
00229,1.1944444444444444,2,1.0,1,36
00230,2.0,2,1.0,1,5
00233,2.0,2,1.0,1,3
00235,1.6111111111111112,2,1.0,1,18
00236,1.0,1,1.0,1,22
00237,1.5,2,1.0,1,2
00238,1.5,2,1.0,1,14
00241,1.0,1,1.0,1,28
00242,1.875,2,1.0,1,16
00267,1.0,1,1.0,1,7
00279,1.0,1,1.0,1,168
00281,1.0870786516853932,3,1.0,1,356
00282,1.0892307692307692,4,1.0,1,975
00283,1.0853994490358128,4,1.0,1,1089
00284,1.0770941438102297,4,1.0,1,1349
00285,1.0257191035148896,3,1.0,1,61083
00286,1.0,1,1.0,1,39388
00290,1.1029411764705883,3,1.0,1,136
00293,1.0,1,1.0,1,2083
00296,1.0,1,1.0,1,66
00301,1.054263565891473,2,1.0,1,129
00316,1.119047619047619,2,1.0,1,42
00319,1.7613019891500905,4,1.0,1,553
00320,1.6139817629179332,3,1.0,1,329
00332,1.008695652173913,2,1.0,1,230
00333,1.0,1,1.0,1,67
00339,1.0212765957446808,2,1.0,1,94
00341,1.0555555555555556,2,1.0,1,36
00343,1.2653061224489797,2,1.0,1,98
00347,1.1634615384615385,3,1.0,1,104
00348,1.3963963963963963,3,1.0,1,222
00349,1.1634615384615385,3,1.0,1,104
00350,1.0990879960561992,4,1.0,1,4057
00352,1.858585392843969,3,1.0,1,21688
00353,1.8594175474223473,3,1.0,1,21667
00354,1.7972771750691343,3,1.0,1,23505
00356,1.0,1,1.0,1,1901
00357,1.0,1,1.0,1,1981
00358,1.0,1,1.0,1,267
00359,1.0,1,1.0,1,181
00360,1.0,1,1.0,1,1616
00366,1.0,1,1.0,1,96
00368,1.0,1,1.0,1,25628
00369,1.0,1,1.0,1,39919
00370,1.0,1,1.0,1,56379
00371,1.0593127753303966,3,1.0,1,28375
00372,1.9912210694333599,3,1.0,1,1253
00373,1.9925975773889637,3,1.0,1,1486
00374,1.2283347097530437,3,1.0,1,37537
00375,1.1439593635156715,3,1.0,1,51973
00376,1.9961450427659317,3,1.0,1,8301
00377,1.9945814142508804,3,1.0,1,7382
00378,1.1648648217051787,3,1.0,1,62621
00379,1.1141375380336473,3,1.0,1,95639
00380,1.9854014598540146,3,1.0,1,6302
00381,1.9813268559283437,3,1.0,1,6587
00382,1.294122845779938,3,1.0,1,56575
00383,1.2261242200870537,3,1.0,1,74207
00384,1.839464882943144,3,1.0,1,1196
00385,1.865860679332182,3,1.0,1,1737
00386,1.0087041633166707,3,1.0,1,28607
00387,1.30915139856832,3,1.0,1,63422
00388,2.0,3,1.0,1,244
00389,2.0,3,1.0,1,200
00390,1.3859802847754654,3,1.0,1,41085
00391,1.2676181980374666,3,1.0,1,53808
00392,1.9998946481247366,3,1.0,1,9492
00393,2.0,3,1.0,1,7149
00394,1.102791610079976,3,1.0,1,33135
00395,1.2189500640204864,3,1.0,1,66385
00396,1.992663656884876,3,1.0,1,1772
00397,1.9974773535145052,3,1.0,1,8721
00398,1.0522208031786575,3,1.0,1,28188
00399,1.990116801437556,3,1.0,1,1113
00400,1.0478384472110578,3,1.0,1,30603
00401,1.9856687898089171,3,1.0,1,1256
00402,1.0,1,1.0,1,2230
00403,1.0,1,1.0,1,3894
00404,1.0,1,1.0,1,45
00405,1.0,1,1.0,1,49
00406,1.0,1,1.0,1,92
00407,1.0,1,1.0,1,97
00410,1.150544522741832,3,1.0,1,1561
00411,1.0,1,1.0,1,1199
00412,1.0,1,1.0,1,3532
00413,1.0,1,1.0,1,4625
00414,2.0,3,1.0,1,52
00415,1.0091967811266056,3,1.0,1,40014
00416,1.0074628182283305,3,1.0,1,56681
00417,1.9912536443148687,3,1.0,1,343
00418,1.9924433249370277,3,1.0,1,397
00419,1.6676545733265202,3,1.0,1,9785
00420,1.2487652288442541,3,1.0,1,6074
00421,1.9881745861105138,3,1.0,1,4651
00422,1.9372026641294007,3,1.0,1,1051
00423,1.0,1,1.0,1,714
00424,1.3643227937706466,3,1.0,1,2119
00425,1.0,1,1.0,1,26750
00426,1.0,1,1.0,1,44891
00430,1.0112359550561798,3,1.0,1,178
00432,1.0,1,1.0,1,137
00433,1.0,1,1.0,1,137
00435,1.0,1,1.0,1,9081
00436,1.6039959888748037,3,1.0,1,52853
00437,1.2649469704573588,3,1.0,1,119556
