NAME,NFTGD_NB,FTGD_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,NEW_OUTPUT_SIZE,OUTPUT_SIZE,NEW_RTGD_BSK,BODY_SK_ATOMS_MAX,EVOL_COUNT,EVOL_TIME,SUMB_TIME,TIME
00582,310,622,32,125,832,89,711,N/A,N/A,N/A,N/A,16,353
00589,224,939,0,0,369,0,939,N/A,N/A,N/A,N/A,9,171
00590,26,605,292,16,845,8,613,N/A,N/A,N/A,N/A,19,223
00591,138,2529,45,0,332,0,2529,N/A,N/A,N/A,N/A,8,220
00592,212,3414,257,0,1202,0,3414,N/A,N/A,N/A,N/A,18,312
00593,384,2049,0,0,415,0,2049,N/A,N/A,N/A,N/A,10,223
00594,354,1984,0,0,577,0,1984,N/A,N/A,N/A,N/A,14,244
00595,438,2703,823,19013,1340,18432,21135,N/A,N/A,N/A,N/A,465,3491
00596,362,2022,0,0,754,0,2022,N/A,N/A,N/A,N/A,13,261
00597,446,2742,823,19013,1559,18432,21174,N/A,N/A,N/A,N/A,492,3587
00598,8,1,0,0,0,0,1,N/A,N/A,N/A,N/A,0,40
00600,354,1983,0,0,577,0,1983,N/A,N/A,N/A,N/A,13,255
00605,168,650,53,0,495,0,650,N/A,N/A,N/A,N/A,12,194
00626,1000,1931,117,512,2925,264,2195,N/A,N/A,N/A,N/A,55,1412
00627,1144,2221,41,0,3385,0,2221,N/A,N/A,N/A,N/A,47,479
00631,1144,2452,155,644,3413,350,2802,N/A,N/A,N/A,N/A,70,1734
00632,1000,1895,87,512,2926,295,2190,N/A,N/A,N/A,N/A,58,1495
00636,4188,939,2723,369,8004,343,1282,N/A,N/A,N/A,N/A,89,846
00637,184,181,56,130,134,52,233,N/A,N/A,N/A,N/A,10,235
00638,248,204,58,195,167,116,320,N/A,N/A,N/A,N/A,12,283
00639,706,254,0,0,256,0,254,N/A,N/A,N/A,N/A,7,171
00640,816,394,24,0,398,0,394,N/A,N/A,N/A,N/A,11,204
00645,4182,1594,35,0,6923,0,1594,N/A,N/A,N/A,N/A,99,842
00646,5064,2301,232,0,9658,0,2301,N/A,N/A,N/A,N/A,124,1008
00648,8,232,0,0,14,0,232,N/A,N/A,N/A,N/A,2,81
00649,1326,284,20,0,1762,0,284,N/A,N/A,N/A,N/A,29,334
00657,3284,2580,360,1014,7770,826,3405,N/A,N/A,N/A,N/A,110,6526
00665,598,2975,823,19013,1674,18432,21407,N/A,N/A,N/A,N/A,517,4360
00666,538,2153,831,19405,1352,18818,20971,N/A,N/A,N/A,N/A,522,3558
00667,2362,506,0,0,2675,0,506,N/A,N/A,N/A,N/A,51,445
00669,7060,4880,398,0,4735,0,4880,N/A,N/A,N/A,N/A,64,974
00670,14158,5693,3066,0,26032,0,5693,N/A,N/A,N/A,N/A,346,2211
00673,230,1929,4,0,317,0,1929,N/A,N/A,N/A,N/A,11,209
00676,3842,1662,3,3583,170,3094,4756,N/A,N/A,N/A,N/A,112,16643
00677,3214,1282,0,2985,0,2644,3926,N/A,N/A,N/A,N/A,73,12105
00678,15114,11217,4013,20406,28279,19522,30739,N/A,N/A,N/A,N/A,979,7029
00679,518,472,0,1049,0,821,1293,N/A,N/A,N/A,N/A,27,1902
00680,14828,10873,3889,19017,27722,18432,29305,N/A,N/A,N/A,N/A,866,5839
00681,232,57,0,4,0,0,57,N/A,N/A,N/A,N/A,0,123
00682,49402,50011,161333,19057,636010,18450,68461,N/A,N/A,N/A,N/A,8995,28729
00683,122,68,0,42,0,17,85,N/A,N/A,N/A,N/A,4,153
00685,788,754,0,815,0,443,1197,N/A,N/A,N/A,N/A,21,3214
00687,368,92,0,0,0,0,92,N/A,N/A,N/A,N/A,0,116
00689,2108,451,0,0,1412,0,451,N/A,N/A,N/A,N/A,26,340
00690,2582,975,9,0,3362,0,975,N/A,N/A,N/A,N/A,84,534
00694,12414,1624,33,0,9727,0,1624,N/A,N/A,N/A,N/A,161,1306
00695,15416,2842,128,0,15446,0,2842,N/A,N/A,N/A,N/A,255,1826
00700,4350,1025,3844,697,156576,0,1025,N/A,N/A,N/A,N/A,2794,13768
00702,3050,789,2722,399,93726,0,789,N/A,N/A,N/A,N/A,1509,7202
00704,1404,419,1225,290,20656,0,419,N/A,N/A,N/A,N/A,319,2589
00705,1606,337,1463,265,23062,0,337,N/A,N/A,N/A,N/A,359,2821
00706,1236,336,1086,282,19937,0,336,N/A,N/A,N/A,N/A,399,2373
00707,946,280,844,235,10951,0,280,N/A,N/A,N/A,N/A,187,1504
00708,452,159,413,135,2807,0,159,N/A,N/A,N/A,N/A,56,623
00709,476,145,407,115,3440,0,145,N/A,N/A,N/A,N/A,69,664
00710,900,235,792,215,10195,0,235,N/A,N/A,N/A,N/A,172,1458
00711,928,289,805,219,9571,0,289,N/A,N/A,N/A,N/A,171,1381
00712,1924,681,2716,1194,44282,312,993,N/A,N/A,N/A,N/A,762,4207
00713,2056,425,1710,361,33244,0,425,N/A,N/A,N/A,N/A,626,3753
00714,726,195,669,168,6607,0,195,N/A,N/A,N/A,N/A,118,1028
00715,2080,451,1796,391,55377,0,451,N/A,N/A,N/A,N/A,854,4679
