NAME,AXIOM_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,OUTPUT_SIZE,TIME
00192,0,0,0,0,0,193
00193,116,0,0,0,118,240
00194,0,0,0,0,0,189
00195,155,0,0,0,157,246
00196,36,0,0,0,36,211
00197,80,0,0,0,80,230
00198,85,0,0,0,85,222
00199,0,0,0,0,0,187
00200,42,0,0,0,42,212
00201,25,0,0,0,25,217
00202,164,0,0,0,105,257
00203,21,0,0,0,21,204
00204,67,0,0,0,67,220
00205,5,0,0,0,5,208
00206,8,0,0,0,9,209
00207,8,0,0,0,9,225
00208,9,0,0,0,9,204
00209,45,0,25,50,30,241
00210,25,0,16,19,25,223
00211,106,0,0,0,115,232
00212,5,0,2,7,3,224
00213,5,0,2,7,3,214
00214,32,1,17,34,25,240
00215,17,0,13,16,14,224
00216,7,0,0,0,7,204
00217,9,0,8,3,8,219
00218,14,1,8,19,8,219
00219,18,0,0,0,18,213
00220,5,0,3,5,3,216
00221,17,1,15,7,19,224
00222,56,2,41,30,58,236
00223,12,0,6,11,11,216
00224,9,0,4,8,7,217
00225,3,0,0,0,3,206
00226,5,0,0,0,5,205
00227,,0,0,0,0,136
00228,12,0,0,0,13,214
00229,38,7,25,28,36,230
00230,7,0,5,4,5,217
00231,4,0,0,0,4,205
00232,38,0,0,0,38,216
00233,4,0,3,3,3,210
00234,8,0,0,0,8,206
00235,24,0,15,19,18,230
00236,28,0,11,24,22,226
00237,3,0,1,3,2,213
00238,19,1,10,18,17,222
00239,215,0,0,0,217,268
00240,,0,0,0,0,204
00241,25,3,21,14,28,223
00242,21,0,18,11,20,223
00243,83,0,0,0,83,229
00244,0,0,0,0,0,191
00245,0,0,0,0,0,195
00246,0,0,0,0,0,188
00247,0,0,0,0,0,189
00248,99,0,0,0,101,231
00249,97,0,0,0,97,228
00250,111,0,0,0,111,237
00251,104,0,0,0,104,226
00252,104,0,0,0,107,232
00253,103,0,0,0,103,233
00254,164,0,0,0,164,253
00255,17,0,0,0,17,217
00256,65,0,0,0,65,222
00257,0,0,0,0,0,193
00258,0,0,0,0,0,188
00259,6,0,0,0,6,202
00260,0,0,0,0,0,195
00261,1,0,0,0,1,205
00262,1,0,0,0,1,193
00263,0,0,0,0,0,189
00264,2,0,0,0,2,201
00265,0,0,0,0,0,191
00266,17,0,0,0,17,208
00267,11,0,7,8,7,218
00268,3,0,0,0,3,205
00269,72,0,0,0,72,222
00270,63,0,0,0,63,221
00271,65,0,0,0,65,216
