NAME,BODY_AVG,BODY_MAX,HEAD_AVG,HEAD_MAX,COUNT
00001,1.013782542113323,2,0.9996171516079633,1,2612
00002,1.0023419203747073,2,1.0,1,1281
00006,1.0,1,1.0,1,1213
00007,1.0290697674418605,2,1.0,1,172
00008,1.0290697674418605,2,1.0,1,172
00009,1.0289017341040463,2,1.0,1,173
00010,1.0290697674418605,2,1.0,1,172
00011,1.028735632183908,2,1.0,1,174
00012,1.1111111111111112,2,1.0,1,279
00013,1.0568927789934355,4,0.9985412107950401,1,1371
00014,1.068676716917923,4,0.9932998324958124,1,1791
00015,1.0708215297450425,3,1.0,1,353
00016,1.0610820244328099,4,0.9982547993019197,1,1146
00017,1.0534171249018067,4,0.9984289080911233,1,1273
00018,1.0596184419713832,4,0.9984101748807631,1,1258
00019,1.0614859094790776,4,0.9982920580700256,1,1171
00020,1.0652324774462179,4,0.9923664122137404,1,1441
00021,1.0632267441860466,4,0.998546511627907,1,1376
00022,1.0573394495412844,3,1.0,1,436
00023,1.0568181818181819,3,1.0,1,440
00024,1.0687150837988826,4,0.9932960893854749,1,1790
00025,1.0,1,1.0,1,1010
00029,1.1637768240343347,3,1.0,1,5825
00030,1.1712538226299694,3,1.0,1,5559
00031,1.1719424460431656,3,1.0,1,5560
00032,1.1596919986608638,3,1.0,1,5974
00039,1.1363011816433086,3,1.0,1,7278
00049,1.0298507462686568,3,1.0,1,67
00050,1.0303030303030303,3,1.0,1,66
00052,1.0,1,1.0,1,27911
00053,1.0,1,1.0,1,1129
00054,1.0,1,1.0,1,3
00055,1.0565217391304347,3,1.0,1,230
00056,1.0,1,1.0,1,12
00057,1.0,1,1.0,1,11
00058,1.0,1,1.0,1,7
00059,1.0,1,1.0,1,47
00060,1.0,1,1.0,1,72
00061,1.0,1,1.0,1,6
00062,1.0,1,1.0,1,72
00063,1.0,1,1.0,1,61
00064,1.0,1,1.0,1,3
00065,1.0,1,1.0,1,12
00066,1.0,1,1.0,1,20
00067,1.0,1,1.0,1,24
00068,1.0,1,1.0,1,35
00069,1.0,1,1.0,1,8
00070,1.0,1,1.0,1,42
00071,1.0,1,1.0,1,14
00072,1.0,1,1.0,1,31
00073,1.0,1,1.0,1,78
00074,1.0,1,1.0,1,21
00075,1.0,1,1.0,1,126
00076,1.010752688172043,2,1.0,1,186
00077,1.0,1,1.0,1,4
00078,1.0,1,1.0,1,803
00079,1.032258064516129,2,1.0,1,31
00080,1.0,1,1.0,1,26
00081,1.0,1,0.9985294117647059,1,680
00082,1.0,1,1.0,1,342
00083,1.0,1,1.0,1,15
00084,1.0,1,1.0,1,4
00085,1.0,1,1.0,1,2
00087,1.0389610389610389,2,1.0,1,77
00088,1.0642201834862386,2,1.0,1,109
00089,1.0,1,1.0,1,87
00090,1.0,1,1.0,1,66
00091,1.0,1,1.0,1,13
00092,1.0,1,1.0,1,32
00093,1.4279475982532752,2,1.0,1,229
00094,1.0,1,1.0,1,150
00095,1.0,1,1.0,1,63
00103,1.0446096654275092,2,1.0,1,269
00104,1.0044722719141324,2,1.0,1,1118
00105,1.0,1,1.0,1,11
00106,1.0,1,1.0,1,43
00107,1.0,1,1.0,1,22
00108,1.0,1,1.0,1,16
00109,1.0,1,1.0,1,83
00110,1.0,1,1.0,1,308
00112,1.2307692307692308,2,1.0,1,130
00113,1.3125,2,1.0,1,32
00114,1.2105263157894737,3,1.0,1,57
00115,1.4279475982532752,2,1.0,1,229
00116,1.108695652173913,3,1.0,1,46
00117,1.136652835408022,3,1.0,1,7230
00118,1.3185840707964602,3,1.0,1,113
00119,1.3333333333333333,2,1.0,1,3
00120,1.0476190476190477,3,1.0,1,63
00122,1.0,1,1.0,1,2
00128,1.0,1,1.0,1,1
00129,1.0,1,1.0,1,13
00130,1.0,1,1.0,1,3
00132,1.0,1,1.0,1,18
00133,1.0,1,1.0,1,10
00135,1.0,1,1.0,1,55
00136,1.0,1,1.0,1,48
00137,1.0,1,1.0,1,158
00138,1.0,1,1.0,1,385
00139,1.0,1,1.0,1,145
00140,1.0,1,1.0,1,512
00141,1.0,1,1.0,1,116
00142,1.0,1,1.0,1,606
00143,1.0,1,1.0,1,187
00144,1.0,1,1.0,1,2168
00145,1.0,1,1.0,1,60
00146,1.0,1,1.0,1,1211
00147,1.0,1,1.0,1,4
00148,1.0,1,1.0,1,629
00149,1.0,1,1.0,1,213
00150,1.0,1,1.0,1,84
00151,1.1014925373134328,2,0.9940298507462687,1,335
00152,1.0,1,1.0,1,22
00153,1.2688679245283019,3,1.0,1,212
00154,1.0,1,1.0,1,6
00155,1.0,1,1.0,1,86
00157,1.04337899543379,2,1.0,1,438
00159,1.0443037974683544,2,1.0,1,316
00162,1.0,1,1.0,1,9
00163,1.1176470588235294,2,1.0,1,34
00164,1.0,1,1.0,1,34
00165,1.0,1,1.0,1,125
00166,1.0,1,1.0,1,10
00167,1.0723684210526316,2,0.9978070175438597,1,456
00168,1.0208333333333333,2,0.9791666666666666,1,48
00169,1.0290697674418605,2,1.0,1,172
00170,1.024,2,1.0,1,125
00171,1.0,1,1.0,1,61
00172,1.0825688073394495,3,0.9969418960244648,1,327
00173,1.0223214285714286,3,1.0,1,224
00174,1.175351071692535,3,1.0,1,5412
00175,1.4279475982532752,2,1.0,1,229
00176,1.2736842105263158,3,1.0,1,95
00177,1.0,1,1.0,1,357
00178,1.0,1,1.0,1,46
00179,1.0,1,1.0,1,25
00189,1.0,1,1.0,1,7
00190,1.4166666666666667,2,1.0,1,12
00193,1.0423728813559323,2,1.0,1,118
