NAME,NFTGD_NB,FTGD_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,NEW_OUTPUT_SIZE,OUTPUT_SIZE,NEW_RTGD_BSK,BODY_SK_ATOMS_MAX,EVOL_COUNT,EVOL_TIME,SUMB_TIME,TIME
00074,0,21,0,0,0,0,21,N/A,N/A,0,0,0,51
00075,2,127,2,1,2,1,128,N/A,N/A,4,20,2,106
00076,0,186,0,0,0,0,186,N/A,N/A,0,0,0,79
00077,0,4,0,0,0,0,4,N/A,N/A,0,0,0,42
00078,43,726,238,358,221,330,1056,N/A,N/A,1879,283,97,611
00079,2,31,0,0,0,0,31,N/A,N/A,2,11,0,93
00080,0,26,0,0,0,0,26,N/A,N/A,0,0,0,48
00081,93,717,66,0,68,0,717,N/A,N/A,262,79,8,297
00082,200,272,479,2,479,2,274,N/A,N/A,1854,306,50,560
00083,0,15,0,0,0,0,15,N/A,N/A,0,0,0,42
00084,0,4,0,0,0,0,4,N/A,N/A,0,0,0,37
00085,0,2,0,0,0,0,2,N/A,N/A,0,0,0,37
00086,0,0,0,0,0,0,0,N/A,N/A,0,0,0,13
00087,0,77,0,0,0,0,77,N/A,N/A,0,0,0,64
00088,0,105,0,0,0,0,105,N/A,N/A,0,0,0,59
00089,0,87,0,0,0,0,87,N/A,N/A,0,0,0,69
00090,0,66,0,0,0,0,66,N/A,N/A,0,0,0,67
00091,0,13,0,0,0,0,13,N/A,N/A,0,0,0,43
00092,0,32,0,0,0,0,32,N/A,N/A,0,0,0,48
00093,0,216,0,0,0,0,216,N/A,N/A,0,0,0,95
00094,17,150,19,14,17,11,161,N/A,N/A,95,44,6,157
00095,0,63,0,0,0,0,63,N/A,N/A,0,0,0,78
00096,0,0,0,0,0,0,0,N/A,N/A,0,0,0,13
00097,0,0,0,0,0,0,0,N/A,N/A,0,0,0,13
00098,0,0,0,0,0,0,0,N/A,N/A,0,0,0,13
00099,0,0,0,0,0,0,0,N/A,N/A,0,0,0,13
00100,0,0,0,0,0,0,0,N/A,N/A,0,0,0,13
