NAME,NFTGD_NB,FTGD_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,NEW_OUTPUT_SIZE,OUTPUT_SIZE,TIME
00756,578,597,2599,172,2468,0,597,7495
00758,14319,67400,149145,433,157959,427,67827,TIMEOUT
00759,2532,5317,12338,454,11970,88,5405,3983
00760,50814,170834,2298,1318,2149,1169,172003,TIMEOUT
00761,5598,13151,42627,10212,41426,9011,22162,TIMEOUT
00762,2508,6634,35958,31231,30793,26066,32700,179091
00763,124,311,291,144,205,58,369,442
00764,14319,67400,121160,433,128840,427,67827,TIMEOUT
00765,0,11,0,0,0,0,11,106
00766,218,1845,19846,18724,19458,18336,20181,6843
00767,0,39,0,0,0,0,39,115
00768,2532,5752,12337,454,11969,88,5840,4895
00769,2532,2653,9567,0,9565,0,2653,3656
00770,2532,2666,12337,454,11969,88,2754,4300
00771,0,2,0,0,0,0,2,67
00772,6,653,54661,5760,52066,3,656,26559
00773,55,577,851,288,606,43,620,784
00774,55,577,851,288,606,43,620,763
00775,55,337,419577,67635,362423,9,346,TIMEOUT
00776,0,92,0,0,0,0,92,82
00777,0,92,0,0,0,0,92,128
00778,42054,113187,7419,3324,6903,2810,115997,TIMEOUT
00779,0,223,0,0,0,0,223,113
00780,0,223,0,0,0,0,223,102
00781,13,243,1625748,1,1720296,1,244,TIMEOUT
00782,13,243,1520881,1,1633338,1,244,TIMEOUT
00783,13,241,1386402,1,1435132,1,242,TIMEOUT
00784,65,987,496,136,385,26,1013,526
00786,76399,109114,234839,57103,204393,27011,136068,TIMEOUT
00787,45442,59418,6406,2703,5631,1740,61158,TIMEOUT
00788,13,2289,210731,143,227703,7,2296,86675
00789,13,2342,231025,146,247793,9,2351,83616
00790,10,2550,210415,105,227221,6,2556,77942
00792,27874,42581,42425,7525,36476,5,42586,TIMEOUT
00793,153,135,1489,544,1039,93,228,1065
00795,47412,65392,105496,97134,97904,89568,154937,TIMEOUT
