NAME,NFTGD_NB,FTGD_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,NEW_OUTPUT_SIZE,OUTPUT_SIZE,NEW_RTGD_BSK,BODY_SK_ATOMS_MAX,EVOL_COUNT,EVOL_TIME,SUMB_TIME,TIME
00125,0,0,0,0,0,0,0,0,0,0,0,0,9
00126,0,0,0,0,0,0,0,0,0,0,0,0,10
00127,0,0,0,0,0,0,0,0,0,0,0,0,10
00128,0,1,0,0,0,0,1,0,0,0,0,0,22
00129,0,13,0,0,0,0,13,0,0,0,0,0,28
00130,0,3,0,0,0,0,3,0,0,0,0,0,25
00131,0,0,0,0,0,0,0,0,0,0,0,0,9
00132,0,18,0,0,0,0,18,0,0,0,0,0,27
00133,0,10,0,0,0,0,10,0,0,0,0,0,24
00134,0,0,0,0,0,0,0,0,0,0,0,0,9
00135,0,55,0,0,0,0,55,0,0,0,0,0,33
00136,0,48,0,0,0,0,48,0,0,0,0,0,36
00137,0,158,0,0,0,0,158,0,0,0,0,0,51
00138,0,385,0,0,0,0,385,0,0,0,0,0,70
00139,0,145,0,0,0,0,145,0,0,0,0,0,44
00140,0,512,0,0,0,0,512,0,0,0,0,0,77
00141,0,116,0,0,0,0,116,0,0,0,0,0,41
00142,0,606,0,0,0,0,606,0,0,0,0,0,83
00143,0,187,0,0,0,0,187,0,0,0,0,0,47
00144,0,2168,0,0,0,0,2168,0,0,0,0,0,154
00145,0,60,0,0,0,0,60,0,0,0,0,0,38
00146,0,1211,0,0,0,0,1211,0,0,0,0,0,118
00147,0,4,0,0,0,0,4,0,0,0,0,0,26
00148,0,629,0,0,0,0,629,0,0,0,0,0,82
00149,0,213,0,0,0,0,213,0,0,0,0,0,57
00150,0,84,0,0,0,0,84,0,0,0,0,0,37
00151,15,320,2,21,96,19,339,0,0,174,11,8,113
00152,0,22,0,0,0,0,22,0,0,0,0,0,30
00153,34,212,2,33,2,0,212,19,1,52,4,4,94
00154,0,6,0,0,0,0,6,0,0,0,0,0,24
00155,0,86,0,0,0,0,86,0,0,0,0,0,36
00156,0,0,0,0,0,0,0,0,0,0,0,0,9
00157,0,438,0,0,0,0,438,0,0,0,0,0,80
00159,0,316,0,0,0,0,316,0,0,0,0,0,68
00161,0,0,0,0,0,0,0,0,0,0,0,0,9
00162,0,9,0,0,0,0,9,0,0,0,0,0,25
00163,0,34,0,0,0,0,34,0,0,0,0,0,29
00164,4,33,0,3,0,1,34,0,0,3,1,1,38
00165,0,125,0,0,0,0,125,0,0,0,0,0,43
00166,0,10,0,0,0,0,10,0,0,0,0,0,33
00167,10,462,11,7,81,1,463,0,0,101,6,6,122
00168,0,48,0,0,0,0,48,0,0,0,0,0,32
00169,31,172,4,19,20,2,174,0,0,60,4,3,85
00170,11,124,0,7,3,2,126,0,0,16,2,9,69
00171,18,61,7,18,17,0,61,0,0,46,5,2,62
00172,24,310,46,32,72,22,332,10,1,116,9,6,114
00173,80,193,51,80,132,30,223,40,1,257,15,13,134
00174,2444,5071,812,11506,14980,338,5409,11168,1,31833,596,600,2131
00175,0,229,0,0,0,0,229,0,0,0,0,0,58
00176,43,82,18,58,33,16,98,41,1,100,11,8,102
00177,0,357,0,0,0,0,357,0,0,0,0,0,71
00178,0,46,0,0,0,0,46,0,0,0,0,0,35
00179,0,25,0,0,0,0,25,0,0,0,0,0,29
00180,0,0,0,0,0,0,0,0,0,0,0,0,9
00181,0,0,0,0,0,0,0,0,0,0,0,0,9
00182,0,0,0,0,0,0,0,0,0,0,0,0,9
00183,0,0,0,0,0,0,0,0,0,0,0,0,9
00184,0,0,0,0,0,0,0,0,0,0,0,0,9
00185,0,0,0,0,0,0,0,0,0,0,0,0,10
00186,0,0,0,0,0,0,0,0,0,0,0,0,9
00187,0,0,0,0,0,0,0,0,0,0,0,0,9
00188,0,0,0,0,0,0,0,0,0,0,0,0,9
00189,0,7,0,0,0,0,7,0,0,0,0,0,24
00190,0,12,0,0,0,0,12,0,0,0,0,0,27
00191,0,0,0,0,0,0,0,0,0,0,0,0,9
00192,0,0,0,0,0,0,0,0,0,0,0,0,11
00193,0,118,0,0,0,0,118,0,0,0,0,0,38
00194,0,0,0,0,0,0,0,0,0,0,0,0,9
00195,0,157,0,0,0,0,157,0,0,0,0,0,43
00196,0,36,0,0,0,0,36,0,0,0,0,0,30
00197,0,80,0,0,0,0,80,0,0,0,0,0,37
00198,0,85,0,0,0,0,85,0,0,0,0,0,36
00199,0,0,0,0,0,0,0,0,0,0,0,0,9
00200,0,42,0,0,0,0,42,0,0,0,0,0,31
00201,0,25,0,0,0,0,25,0,0,0,0,0,29
00202,0,105,0,0,0,0,105,0,0,0,0,0,39
00203,0,21,0,0,0,0,21,0,0,0,0,0,27
00204,0,67,0,0,0,0,67,0,0,0,0,0,35
00205,0,5,0,0,0,0,5,0,0,0,0,0,24
00206,0,9,0,0,0,0,9,0,0,0,0,0,24
00207,0,9,0,0,0,0,9,0,0,0,0,0,24
00208,0,9,0,0,0,0,9,0,0,0,0,0,26
00209,28,30,0,0,0,0,30,0,0,17,3,0,55
00210,6,25,0,0,3,0,25,0,0,5,1,2,47
00211,0,115,0,0,0,0,115,0,0,0,0,0,37
00212,4,3,0,0,0,0,3,0,0,2,1,0,49
00213,4,3,0,0,0,0,3,0,0,2,1,0,45
00214,16,25,0,0,5,0,25,0,0,15,2,2,53
00215,7,14,0,0,4,0,14,0,0,9,2,2,46
00216,0,7,0,0,0,0,7,0,0,0,0,0,25
00217,2,8,0,0,0,0,8,0,0,1,0,0,43
00218,11,8,1,0,3,0,8,0,0,8,2,2,50
00219,0,18,0,0,0,0,18,0,0,0,0,0,27
00220,3,3,0,0,0,0,3,0,0,2,1,0,41
00221,1,19,0,0,2,0,19,0,0,2,1,2,37
00222,7,58,0,0,6,0,58,0,0,9,2,2,57
00223,3,11,0,0,0,0,11,0,0,3,1,0,56
00224,3,7,0,0,1,0,7,0,0,3,1,1,44
00225,0,3,0,0,0,0,3,0,0,0,0,0,24
00226,0,5,0,0,0,0,5,0,0,0,0,0,24
00227,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ERROR
00228,0,13,0,0,0,0,13,0,0,0,0,0,24
00229,3,41,3,2,4,0,41,0,0,9,2,2,51
00230,2,5,0,0,0,0,5,0,0,2,1,0,43
00231,0,4,0,0,0,0,4,0,0,0,0,0,25
00232,0,38,0,0,0,0,38,0,0,0,0,0,31
00233,2,3,0,0,0,0,3,0,0,1,1,0,40
00234,0,8,0,0,0,0,8,0,0,0,0,0,25
00235,10,18,0,0,2,0,18,0,0,10,2,2,48
00236,7,22,0,6,0,0,22,0,0,12,2,0,50
00237,1,2,0,0,0,0,2,0,0,1,0,0,40
00238,4,17,2,1,7,0,17,1,1,13,5,2,56
