NAME,NFTGD_NB,FTGD_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,NEW_OUTPUT_SIZE,OUTPUT_SIZE,EVOL_TIME,TIME
00126,0,0,0,0,0,0,0,0,48
00127,0,0,0,0,0,0,0,0,50
00128,0,1,0,0,0,0,1,0,86
00129,0,13,0,0,0,0,13,0,74
00130,0,3,0,0,0,0,3,0,69
00131,0,0,0,0,0,0,0,0,55
00132,0,18,0,0,0,0,18,0,75
00133,0,10,0,0,0,0,10,0,75
00134,0,0,0,0,0,0,0,0,45
00135,0,55,0,0,0,0,55,0,111
00136,0,48,0,0,0,0,48,0,104
00137,0,158,0,0,0,0,158,0,123
00138,0,386,0,0,0,0,386,0,165
00139,0,145,0,0,0,0,145,0,108
00140,0,511,0,0,0,0,511,0,139
00141,0,116,0,0,0,0,116,0,84
00142,0,604,0,0,0,0,604,0,142
00143,0,187,0,0,0,0,187,0,124
00144,0,2168,0,0,0,0,2168,0,162
00145,0,60,0,0,0,0,60,0,232
00146,0,1211,0,0,0,0,1211,0,200
00147,0,4,0,0,0,0,4,0,75
00148,0,629,0,0,0,0,629,0,158
00149,0,213,0,0,0,0,213,0,122
00150,0,84,0,0,0,0,84,0,99
00151,51,263,122,66,775,29,292,77,318
00152,0,22,0,0,0,0,22,0,70
00153,48,186,8,128,2,8,194,13,203
00154,0,6,0,0,0,0,6,0,74
00155,0,86,0,0,0,0,86,0,107
00156,0,0,0,0,0,0,0,0,46
00157,0,438,0,0,0,0,438,0,130
00159,0,316,0,0,0,0,316,0,144
00161,0,0,0,0,0,0,0,0,54
00162,0,9,0,0,0,0,9,0,67
00163,0,31,0,0,0,0,31,0,114
00164,3,31,2,4,0,2,33,1,105
00165,0,125,0,0,0,0,125,0,86
00166,0,10,0,0,0,0,10,0,75
00167,12,451,19,7,76,3,454,6,200
00168,0,47,0,0,0,0,47,0,83
00169,23,168,16,21,24,12,180,6,167
00170,9,120,5,9,3,4,124,2,145
00171,12,61,18,18,17,7,68,5,152
00172,216,190,2650,472,3404,30,220,198,556
00173,240,98,241,477,402,31,129,65,348
00174,4884,3626,7366,240627,34660,1967,5593,11669,TIMEOUT
00175,0,216,0,0,0,0,216,0,136
00176,50,70,40,84,41,36,106,19,194
00177,0,357,0,0,0,0,357,0,137
00178,0,46,0,0,0,0,46,0,76
00179,0,25,0,0,0,0,25,0,97
00180,0,0,0,0,0,0,0,0,47
00181,0,0,0,0,0,0,0,0,45
00182,0,0,0,0,0,0,0,0,68
00183,0,0,0,0,0,0,0,0,42
00184,0,0,0,0,0,0,0,0,46
00185,0,0,0,0,0,0,0,0,44
00186,0,0,0,0,0,0,0,0,43
00187,0,0,0,0,0,0,0,0,46
00188,0,0,0,0,0,0,0,0,44
00189,0,7,0,0,0,0,7,0,81
00190,0,12,0,0,0,0,12,0,67
00191,0,0,0,0,0,0,0,0,45
00192,0,0,0,0,0,0,0,0,46
00193,0,116,0,0,0,0,116,0,107
00194,0,0,0,0,0,0,0,0,44
00195,0,155,0,0,0,0,155,0,112
00196,0,36,0,0,0,0,36,0,121
00197,0,80,0,0,0,0,80,0,82
00198,0,85,0,0,0,0,85,0,98
00199,0,0,0,0,0,0,0,0,46
00200,0,42,0,0,0,0,42,0,69
00201,0,25,0,0,0,0,25,0,73
00202,0,165,0,0,0,0,165,0,118
00203,0,21,0,0,0,0,21,0,66
00204,0,67,0,0,0,0,67,0,92
00205,0,5,0,0,0,0,5,0,84
00206,0,8,0,0,0,0,8,0,104
00207,0,8,0,0,0,0,8,0,76
00208,0,9,0,0,0,0,9,0,113
00209,18,27,0,0,0,0,27,3,98
00210,6,19,6,0,10,0,19,3,108
00211,0,106,0,0,0,0,106,0,86
00212,2,3,0,0,0,0,3,1,109
00213,2,3,0,0,0,0,3,1,82
00214,11,21,0,0,3,0,21,3,97
00215,7,10,0,0,2,0,10,5,110
00216,0,7,0,0,0,0,7,0,105
00217,1,8,0,0,0,0,8,1,95
00218,6,8,1,0,3,0,8,7,97
00219,0,18,0,0,0,0,18,0,103
00220,2,3,0,0,0,0,3,1,104
00221,1,16,1,0,2,0,16,1,99
00222,5,51,3,0,5,0,51,2,134
00223,4,8,0,0,0,0,8,2,86
00224,2,7,0,0,1,0,7,1,102
00225,0,3,0,0,0,0,3,0,68
00226,0,5,0,0,0,0,5,0,68
00227,0,6,0,0,0,0,6,0,77
00228,0,12,0,0,0,0,12,0,80
00229,2,36,3,2,3,0,36,2,108
00230,2,5,0,0,0,0,5,1,98
00231,0,4,0,0,0,0,4,0,88
00232,0,38,0,0,0,0,38,0,85
00233,1,3,0,0,0,0,3,1,79
00234,0,8,0,0,0,0,8,0,82
00235,6,18,0,0,2,0,18,2,130
00236,6,22,2,6,0,4,26,3,161
00237,1,2,0,0,0,0,2,1,103
00238,5,14,6,2,10,1,15,3,93
00239,0,215,0,0,0,0,215,0,150
