NAME,NFTGD_NB,FTGD_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,NEW_OUTPUT_SIZE,OUTPUT_SIZE,TIME
00772,6,653,79559,11246,71478,3,656,37563
00773,53,577,1673,1026,688,41,618,1337
00774,53,577,1969,1322,688,41,618,1439
00775,52,341,209466,22112,191345,9,350,TIMEOUT
00776,0,92,0,0,0,0,92,126
00777,0,92,0,0,0,0,92,153
00778,42054,113189,6338,3087,3807,556,113745,TIMEOUT
00779,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ERROR
00780,0,223,0,0,0,0,223,136
00781,12,417,2213113,700321,1517408,387,804,TIMEOUT
00782,12,417,2312524,712119,1605134,443,860,TIMEOUT
00783,12,415,1562093,445594,1119769,401,816,TIMEOUT
00784,63,987,829,393,460,25,1012,966
00787,45442,59419,2241,1544,792,86,59505,TIMEOUT
00788,10,2538,539959,56172,500456,12,2550,TIMEOUT
00789,7,2580,506120,49915,473264,10,2590,280356
00790,7,2783,411009,75515,352553,10,2793,243847
00791,8665,41060,225254,133917,137524,46187,87247,TIMEOUT
00792,27874,42592,74107,1862,73918,5,42597,TIMEOUT
00793,152,144,3299,2132,1279,92,236,1615
00794,9484,10114,770094,402483,419028,51417,61531,TIMEOUT
00795,47412,65393,11409,9827,8618,7039,72431,TIMEOUT
00796,43604,100787,11829,676,12644,0,100787,TIMEOUT
00797,225554,236447,59035,10246,64768,790,237237,TIMEOUT
