NAME,NFTGD_NB,FTGD_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,NEW_OUTPUT_SIZE,OUTPUT_SIZE,TIME
00130,0,4,0,0,0,0,4,119
00131,0,1,0,0,0,0,1,112
00132,0,19,0,0,0,0,19,126
00133,0,11,0,0,0,0,11,119
00134,0,0,0,0,0,0,0,78
00135,0,56,0,0,0,0,56,138
00136,0,49,0,0,0,0,49,136
00137,0,159,0,0,0,0,159,164
00138,0,385,0,0,0,0,385,205
00139,0,146,0,0,0,0,146,174
00140,0,512,0,0,0,0,512,208
00141,0,117,0,0,0,0,117,149
00142,0,605,0,0,0,0,605,205
00143,0,188,0,0,0,0,188,237
00144,0,2169,0,0,0,0,2169,368
00145,0,61,0,0,0,0,61,137
00146,0,1212,0,0,0,0,1212,267
00147,0,5,0,0,0,0,5,116
00148,0,630,0,0,0,0,630,228
00149,0,214,0,0,0,0,214,178
00150,0,85,0,0,0,0,85,146
00151,48,271,130654,640064,178180,35,306,22381
00152,0,23,0,0,0,0,23,129
00153,24,211,2,341,0,0,211,252
00154,0,7,0,0,0,0,7,123
00155,0,87,0,0,0,0,87,157
00156,0,0,0,0,0,0,0,83
00157,0,439,0,0,0,0,439,212
00159,0,317,0,0,0,0,317,186
00161,0,0,0,0,0,0,0,81
00162,0,10,0,0,0,0,10,114
00163,0,32,0,0,0,0,32,132
00164,3,32,0,6,1,1,33,164
00165,0,130,0,0,0,0,130,160
00166,0,11,0,0,0,0,11,118
00167,12,464,117,548,53,1,465,389
00168,0,55,0,0,0,0,55,141
00169,22,255,48,695,41,1,256,315
00170,9,160,17,103,0,0,160,223
00171,12,89,21,210,0,0,89,287
00172,108,392,26358,99640,123722,113,505,4708
00173,120,472,785,30655,11190,41,513,849
00174,1776,3627,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00175,0,217,0,0,0,0,217,189
00176,28,83,99,1304,685,15,98,362
00177,0,358,0,0,0,0,358,189
00178,0,47,0,0,0,0,47,136
00179,0,26,0,0,0,0,26,124
00180,0,1,0,0,0,0,1,110
00181,0,1,0,0,0,0,1,112
00182,0,1,0,0,0,0,1,118
00183,0,1,0,0,0,0,1,118
00184,0,1,0,0,0,0,1,114
00185,0,1,0,0,0,0,1,111
00186,0,1,0,0,0,0,1,119
00187,0,1,0,0,0,0,1,109
00188,0,1,0,0,0,0,1,110
00189,0,8,0,0,0,0,8,114
00190,0,17,0,0,0,0,17,118
00191,0,1,0,0,0,0,1,114
00192,0,1,0,0,0,0,1,124
00193,0,119,0,0,0,0,119,151
00194,0,1,0,0,0,0,1,115
00195,0,158,0,0,0,0,158,183
00196,0,37,0,0,0,0,37,131
00197,0,83,0,0,0,0,83,141
00198,0,88,0,0,0,0,88,144
00199,0,1,0,0,0,0,1,117
00200,0,43,0,0,0,0,43,148
00201,0,26,0,0,0,0,26,132
00202,0,226,0,0,0,0,226,171
00203,0,22,0,0,0,0,22,124
00204,0,70,0,0,0,0,70,164
00205,0,6,0,0,0,0,6,117
00206,0,9,0,0,0,0,9,119
00207,0,9,0,0,0,0,9,122
00208,0,10,0,0,0,0,10,117
00209,18,28,21,342,0,0,28,200
00210,5,20,10,30,0,0,20,166
00211,0,107,0,0,0,0,107,154
00212,2,4,2,6,0,0,4,148
00213,2,4,2,6,0,0,4,153
00214,11,22,17,148,0,0,22,181
00215,7,11,16,56,0,0,11,171
00216,0,8,0,0,0,0,8,118
00217,1,9,1,2,0,0,9,143
00218,6,9,7,44,0,0,9,166
00219,0,19,0,0,0,0,19,161
00220,2,4,2,6,0,0,4,148
00221,1,17,2,2,0,0,17,152
00222,5,53,15,30,0,0,53,186
00223,4,9,7,20,0,0,9,161
00224,2,8,3,8,0,0,8,151
00225,0,4,0,0,0,0,4,134
00226,0,6,0,0,0,0,6,116
00227,0,7,0,0,0,0,7,119
00228,0,13,0,0,0,0,13,123
00229,2,37,9,10,0,0,37,173
00230,2,6,2,6,0,0,6,145
00231,0,5,0,0,0,0,5,117
00232,0,39,0,0,0,0,39,133
00233,1,5,1,2,0,0,5,148
00234,0,9,0,0,0,0,9,119
00235,6,19,10,48,0,0,19,179
00236,6,23,6,42,0,0,23,170
00237,1,3,1,2,0,0,3,147
00238,5,18,13,46,0,0,18,211
00239,0,216,0,0,0,0,216,185
00240,0,52,0,0,0,0,52,140
00241,1,29,3,4,0,0,29,172
00242,5,17,14,30,0,0,17,170
00243,0,86,0,0,0,0,86,163
00244,0,1,0,0,0,0,1,117
00245,0,1,0,0,0,0,1,118
00246,0,1,0,0,0,0,1,111
00247,0,1,0,0,0,0,1,110
00248,0,104,0,0,0,0,104,151
00249,0,100,0,0,0,0,100,158
00250,0,114,0,0,0,0,114,153
00251,0,107,0,0,0,0,107,146
00252,0,110,0,0,0,0,110,148
00253,0,106,0,0,0,0,106,147
00254,0,167,0,0,0,0,167,173
00255,0,18,0,0,0,0,18,128
00256,0,66,0,0,0,0,66,146
00257,0,0,0,0,0,0,0,76
00258,0,0,0,0,0,0,0,127
00259,0,7,0,0,0,0,7,120
00260,0,1,0,0,0,0,1,113
00261,0,2,0,0,0,0,2,114
00262,0,2,0,0,0,0,2,112
00263,0,0,0,0,0,0,0,81
00264,0,3,0,0,0,0,3,115
00265,0,0,0,0,0,0,0,80
00266,0,18,0,0,0,0,18,125
00267,4,8,4,20,0,0,8,150
00268,0,4,0,0,0,0,4,116
00269,0,75,0,0,0,0,75,144
00270,0,66,0,0,0,0,66,135
00271,0,68,0,0,0,0,68,163
00272,0,80,0,0,0,0,80,141
00273,0,74,0,0,0,0,74,145
00274,0,97,0,0,0,0,97,146
00275,0,128,0,0,0,0,128,154
00276,0,14,0,0,0,0,14,122
00277,0,102,0,0,0,0,102,155
00278,0,1,0,0,0,0,1,115
00279,26,171,38,966,0,0,171,319
00280,0,258,0,0,0,0,258,186
00281,13,367,5255,11043,3180,24,391,3510
00282,65,932,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00283,85,1016,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00284,81,1280,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00285,66179,53295,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00286,13961,32980,147093,707006394,299763736,6409,39389,99979
00287,0,26,0,0,0,0,26,137
00288,0,85,0,0,0,0,85,142
00289,0,43,0,0,0,0,43,142
00290,7,146,26,102,0,0,146,260
00292,0,32,0,0,0,0,32,162
00293,16,2084,16,272,0,0,2084,379
00294,0,42,0,0,0,0,42,136
00295,0,43,0,0,0,0,43,143
00296,16,67,71,429,0,0,67,277
00297,0,72,0,0,0,0,72,138
00298,0,82,0,0,0,0,82,143
00299,0,10,0,0,0,0,10,119
00300,0,1,0,0,0,0,1,116
00301,3,140,5,12,5,1,141,215
00302,0,375,0,0,0,0,375,196
00303,0,362,0,0,0,0,362,195
00304,0,39,0,0,0,0,39,132
00305,0,21,0,0,0,0,21,123
00306,0,16,0,0,0,0,16,124
00307,0,0,0,0,0,0,0,79
00308,0,8,0,0,0,0,8,119
00309,0,84,0,0,0,0,84,142
00310,0,23,0,0,0,0,23,132
00311,0,23,0,0,0,0,23,131
00312,0,24,0,0,0,0,24,142
00313,0,0,0,0,0,0,0,78
00314,0,0,0,0,0,0,0,79
00315,0,10,0,0,0,0,10,117
00316,1,43,1,2,0,0,43,159
00317,0,0,0,0,0,0,0,83
00318,0,68,0,0,0,0,68,146
00319,12,458,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00320,8,263,22,116,0,0,263,232
00321,0,16,0,0,0,0,16,118
00322,0,1698,0,0,0,0,1698,299
00323,0,13,0,0,0,0,13,121
00324,0,49,0,0,0,0,49,194
00325,0,2,0,0,0,0,2,114
00326,0,0,0,0,0,0,0,87
00327,0,1,0,0,0,0,1,119
